sum: 617090
of the 2507
to be 2233
in the 1917
I am 1366
of her 1264
to the 1142
it was 1010
had been 995
she had 978
to her 964
could not 945
I have 898
of his 880
and the 862
she was 843
have been 837
of a 745
for the 712
in a 707
it is 688
such a 681
on the 677
he had 645
would be 631
that she 628
did not 621
at the 619
do not 616
was not 608
all the 595
that he 581
she could 572
and I 572
of it 561
a very 556
he was 554
with the 547
to have 544
by the 530
must be 524
I do 518
with a 514
not be 511
will be 498
was a 493
her own 492
as she 489
from the 487
and she 486
It was 482
would not 467
would have 462
as to 458
in her 454
for her 449
that I 443
the same 409
they were 399
is not 398
to see 395
is a 390
for a 388
had not 385
I shall 382
and her 378
but I 374
It is 369
her to 369
am sure 369
a little 366
I should 365
with her 364
a great 357
so much 348
at all 343
more than 341
of their 334
it would 332
the world 332
I was 332
the first 331
could be 328
to say 327
in his 326
to make 326
there was 323
She was 322
might be 321
her and 320
I think 317
I had 311
was the 309
my dear 309
be a 308
to do 306
his own 306
that it 306
not to 305
you are 302
should be 301
the house 301
and as 298
to me 293
him to 292
out of 292
not have 291
was to 290
to his 289
Sir Thomas 287
a few 287
and that 285
as he 283
and a 283
will not 275
you know 275
you will 273
I can 273
I could 272
one of 271
which she 270
Mr Knightley 269
the room 269
to think 268
of all 266
I cannot 263
that the 263
the other 262
as I 262
she would 257
and Mrs 256
to give 254
may be 254
to him 253
and his 251
I will 250
I hope 249
you have 247
the most 246
the whole 245
of my 245
he is 244
to you 244
able to 244
and he 242
I know 241
all that 238
it to 238
there is 238
that you 237
at least 236
into the 236
and in 235
the subject 235
think of 235
to a 234
I must 232
be the 232
as a 232
She had 231
of being 231
was very 230
and it 230
very much 229
Mrs Weston 228
the very 227
not know 226
he could 226
any thing 225
was in 225
as the 224
of Mr 224
and to 222
might have 221
as well 218
on her 217
by her 217
but it 216
of what 216
enough to 216
has been 215
must have 215
Miss Crawford 215
said he 213
it and 212
to go 212
she is 212
but she 209
said she 205
as they 205
be so 204
he would 201
soon as 200
have a 200
from her 199
Mrs Jennings 199
obliged to 198
a good 198
him and 198
if you 198
Mr Darcy 197
I would 196
the rest 196
and then 195
is the 195
her sister 195
was so 194
who had 194
of your 194
ought to 194
had no 193
every thing 192
and was 192
they had 191
of them 190
Mr Elton 190
as you 190
should not 190
young man 189
of this 188
of such 187
with him 186
had a 186
does not 185
a man 184
I dare 184
have no 184
you must 182
such an 182
to hear 181
and so 181
sort of 181
and with 181
as it 180
and when 180
a most 179
part of 179
as soon 179
great deal 178
me to 178
of that 178
what she 177
and though 177
dare say 176
He was 175
what I 175
I never 175
it will 174
it I 174
but the 174
very well 174
and Mr 173
for it 173
be in 173
had never 172
the two 171
all her 171
in my 171
could have 171
they are 171
when she 170
I believe 170
should have 169
of him 169
as much 168
is very 165
too much 165
in which 165
her in 164
she did 164
to speak 163
Miss Woodhouse 163
Mr Crawford 162
if he 162
was no 162
which he 162
the next 161
so very 161
He had 161
with all 160
me I 160
in their 160
at her 159
be very 158
no more 158
Mrs Norris 158
seemed to 157
do you 157
her mother 156
for his 156
You are 156
of Mrs 156
at home 155
you would 154
of an 154
of its 153
well as 153
as if 152
that they 152
if I 151
can be 151
if she 150
it had 150
But I 150
an hour 150
not think 149
by a 148
are not 147
was now 147
to take 147
the last 146
a moment 146
have not 146
them and 145
idea of 145
for him 144
that is 144
Mr Weston 143
and of 143
of any 143
at last 142
and if 142
going to 142
were to 141
in love 140
them to 140
but he 140
is so 140
when he 140
the evening 140
and all 139
not a 139
to it 139
the time 139
on his 138
you to 138
the best 137
shall be 137
and they 136
nothing to 136
I did 136
the day 135
in this 135
her that 134
in such 133
I wish 133
which had 133
her father 132
Frank Churchill 132
my own 132
to Mr 131
assure you 131
to know 131
think it 131
and Miss 131
she might 131
that her 130
he has 130
the door 130
by his 130
My dear 129
you and 128
with his 128
glad to 128
have the 128
was all 128
made her 128
again and 128
her with 127
is to 127
some time 127
is no 127
you I 126
which I 126
to Mrs 126
I suppose 124
each other 124
for me 124
Mrs Elton 124
about it 124
spite of 123
not been 123
with you 122
say that 122
have had 122
Mr Collins 122
the family 122
when I 122
for you 122
herself and 122
when the 121
to my 121
it must 121
the others 121
to herself 121
to feel 121
began to 121
him in 120
be done 120
I thought 120
was at 120
who was 120
in it 119
know what 119
it as 119
the young 119
he did 119
want of 119
for I 117
the only 117
end of 117
were not 117
not the 117
he should 117
had the 116
she felt 116
thought of 116
to find 115
be sure 115
you were 115
must not 115
in every 115
than she 114
any other 114
Lady Bertram 114
of you 114
time to 114
she should 114
you do 113
you may 113
you think 113
to them 113
rest of 113
the present 113
of every 113
been so 112
was quite 112
am not 112
at first 112
There is 111
in all 111
There was 111
it all 111
and had 111
very little 111
She could 111
in town 111
Mr Rushworth 110
in spite 110
with them 110
be more 110
used to 110
Mr Woodhouse 110
what was 109
Mrs Dashwood 109
to get 109
with such 109
Miss Fairfax 109
all this 109
Colonel Brandon 108
about the 108
been a 108
of course 107
have done 107
she must 107
the greatest 107
and at 107
opinion of 106
that Mr 106
when they 106
very good 106
I assure 105
You will 105
her as 105
ready to 105
after a 105
Mrs Bennet 104
to come 104
her a 104
and after 104
the country 104
what you 103
and therefore 103
state of 103
likely to 103
a young 103
every body 103
her mind 103
Miss Bates 103
thought it 102
not in 102
They were 102
which was 102
it in 102
he might 102
what he 102
no longer 102
for she 101
the party 101
to Miss 101
it but 101
herself to 101
so well 101
with me 101
half a 101
her friend 100
much to 100
but as 100
we shall 100
he must 100
we are 100
that could 99
of Miss 99
the general 99
deal of 99
fond of 99
without any 99
a letter 98
tell you 98
his wife 98
or two 97
her eyes 97
as possible 97
we have 97
Sir John 97
at a 97
sure I 97
at once 96
to look 96
she has 96
in general 96
that there 96
Jane Fairfax 96
nothing but 96
to your 95
through the 95
much as 95
nothing of 95
the matter 95
not at 94
her She 94
were all 94
come to 94
He is 94
at this 93
the end 93
and you 93
to all 93
it might 93
drawing room 93
Do not 93
over the 93
and there 93
was too 93
might not 93
of some 93
know that 92
and for 92
to marry 92
you can 92
on a 92
her the 92
not you 92
a woman 92
You have 92
came to 91
but that 91
your own 91
with an 91
in that 91
for ever 91
to any 90
all his 90
it for 90
the carriage 90
to their 90
her brother 90
his father 90
be no 90
of having 89
and on 89
she thought 89
You must 89
cannot be 89
them all 89
much more 89
only to 89
She is 88
Mr and 88
wish to 88
be able 88
This is 88
but a 88
it a 88
go to 88
the way 88
the idea 88
before she 88
way to 87
into a 87
instead of 87
whom she 87
as her 87
it with 87
Mrs Grant 87
that was 87
not like 87
before her 87
said Mrs 87
few minutes 86
be at 86
kind of 86
time of 86
need not 86
so many 86
far as 85
to talk 85
what is 85
though she 85
by no 85
her for 85
than I 85
much of 85
This was 84
for some 84
It would 84
to leave 84
how much 84
the smallest 84
it could 84
she will 84
not so 84
any of 84
before the 84
see her 84
her heart 84
acquainted with 83
enough for 83
you had 83
not but 83
a word 83
their own 83
a friend 83
he will 83
house and 82
her husband 82
Do you 82
and every 82
Miss Tilney 82
hope of 82
to tell 82
by any 82
shall not 82
course of 82
of which 81
she saw 81
knowledge of 81
the pleasure 81
no doubt 81
which her 81
see him 81
which the 81
Lady Middleton 81
any body 81
that his 81
been in 80
room and 80
there were 80
of those 80
I may 80
your sister 80
and how 80
the drawing 80
and not 79
been the 79
are very 79
like to 79
in your 79
young ladies 79
but you 79
she found 79
that a 79
doubt of 79
That is 79
and very 79
every day 79
that if 79
degree of 79
a day 79
talked of 78
has not 78
the place 78
know how 78
to what 78
Mr Bingley 78
so little 78
make her 77
his sister 77
was soon 77
full of 77
think I 77
and said 77
pleasure of 77
had ever 77
mother and 77
of seeing 77
the least 77
at present 77
sorry to 77
more to 77
Mrs Allen 77
than the 77
no means 76
her from 76
as far 76
had seen 76
for your 76
love with 76
was an 76
for my 76
of mind 76
but there 76
young lady 75
had done 75
be as 75
how to 75
at that 75
so I 75
so far 75
am very 75
and by 75
if it 74
him I 74
reason to 74
point of 74
far from 74
from his 74
him that 74
a short 74
looked at 74
or other 74
its being 74
were the 74
Lady Catherine 73
brother and 73
not help 73
her being 73
I see 72
me and 72
her aunt 72
on this 72
this is 72
down to 72
and who 72
is all 72
only a 72
opportunity of 72
the case 72
was her 72
this morning 72
up to 72
give her 71
see you 71
time and 71
not do 71
Miss Bingley 71
man of 71
be of 71
but in 71
all and 71
him with 71
father and 71
and now 70
this time 70
sense of 70
have heard 70
him as 70
the morning 70
but her 70
talk of 70
some of 70
in an 70
was as 70
the truth 70
felt that 70
were in 70
more and 70
them in 70
indeed I 70
what had 69
the letter 69
he said 69
so long 69
the Miss 69
at his 69
her hand 69
a year 68
had she 68
was only 68
those who 68
If I 68
Mr Bennet 68
a week 68
no one 68
than to 68
for any 68
from him 68
with some 68
when you 68
was obliged 68
it may 68
as his 68
with Mr 68
Fanny was 68
such as 68
with great 67
want to 67
in any 67
my word 67
of our 67
Mrs Rushworth 67
on that 67
had passed 67
than a 67
said Mr 67
time for 67
before he 67
tried to 67
think you 67
is quite 67
all my 67
his being 67
and more 67
to morrow 67
meant to 66
at Hartfield 66
and Fanny 66
And I 66
the latter 66
she said 66
Emma was 66
and their 66
her sister's 66
and yet 66
her at 66
any one 66
wish of 66
in London 66
and what 66
even to 65
they would 65
her I 65
up the 65
told her 65
am afraid 65
equal to 65
But you 65
Miss Dashwood 65
between them 64
have you 64
her spirits 64
